book	source	target	code	source_lang	target_lang
norwegian_wood	「そういうのは実際には起こらないの？」	– To się w rzeczywistości nie zdarza?	ja-pl	ja	pl
norwegian_wood	そんなところで一人ぼっちでじわじわと死んでいくの。	Umierałby tam człowiek po troszeczku, zupełnie sam.	ja-pl	ja	pl
norwegian_wood	彼女は両手を僕の肩にあてて正面から、僕の目をじっとのぞきこんだ。	Położyła mi ręce na ramionach i zajrzała uważnie w oczy.	ja-pl	ja	pl
	舗道をまっすぐ行った正面には二階建ての本部建物がある。	Po‍ drugiej stronie dziedzińca, naprzeciw bramy znajdował się główny budynek kompleksu. 	ja-pl	ja	pl
norwegian_wood	一階には食堂と大きな浴場、二階には講堂といくつかの集会室、それから何に使うのかは知らないけれど貴賓室まである。	Był piętrowy, na parterze mieściła się stołówka, łazienki, na piętrze aula i sale, w których można było urządzać grupowe spotkania czy zebrania, oraz nie wiadomo czemu służące pokoje gościnne. 	ja-pl	ja	pl
the_trial	Er hatte die Beine übereinandergeschlagen und einen Arm auf die Rückenlehne des Stuhles gelegt.	Nogę miał założoną na nogę, ramię przewieszone przez oparcie krzesła.	de-pl	de	pl
the_trial	Jetzt war das Nachttischchen von ihrem Bett als Verhandlungstisch in die Mitte des Zimmers gerückt, und der Aufseher saß hinter ihm.	Teraz odsunięty od jej łóżka nocny stolik stał na środku pokoju w charakterze stołu rozpraw, a przy nim siedział nadzorca.	de-pl	de	pl
the_trial	Jemand mußte Josef K. verleumdet haben, denn ohne daß er etwas Böses getan hätte, wurde er eines Morgens verhaftet.	Ktoś musiał fałszywie oskarżyć Józefa K., bo przecież on nic złego nie zrobił, a został pewnego ranka pozbawiony wolności.	de-pl	de	pl
the_trial	Ohne auf dieses Angebot zu antworten, stand K. ein Weilchen lang still.	K., nie odpowiedziawszy na tę propozycję, przez chwilę stał bez ruchu.	de-pl	de	pl
the_trial	In diesem Frühjahr pflegte K. die Abende in der Weise zu verbringen, daß er nach der Arbeit, wenn dies noch möglich war – er saß meistens bis neun Uhr im Büro –, einen kleinen Spaziergang allein oder mit Beamten machte und dann in eine Bierstube ging, wo er an einem Stammtisch mit meist älteren Herren gewöhnlich bis elf Uhr beisammen saß. 	Tej wiosny K. zwykł spędzać wieczory następująco: po pracy w biurze, gdzie przeważnie siedział do dziewiątej, robił jeszcze w miarę możności mały spacer sam lub ze znajomymi, po czym szedł do pewnej piwiarni i wśród jej bywalców, starszych na ogół panów, przesiadywał przy stoliku najczęściej do jedenastej.	de-pl	de	pl
the_little_prince	Il me fallut longtemps pour comprendre d’où il venait.	Dużo czasu upłynęło, zanim zrozumiałem, skąd przybył.	fr-pl	fr	pl
les_miserables	En 1815, M. Charles-François-Bienvenu Myriel était évêque de Digne.	W roku 1815 ksiądz Karol Franciszek Benvenuto Myriel był biskupem w Digne.	fr-pl	fr	pl
les_miserables	― Quel est ce bonhomme qui me regarde ?	– Cóż to za poczciwina tak mi się przygląda?	fr-pl	fr	pl
les_miserables	Personne n’eût osé en parler, personne n’eût osé s’en souvenir.		fr-pl	fr	pl
les_miserables	Ils avaient pour tout domestique une servante du même âge que mademoiselle Baptistine, et appelée madame Magloire, laquelle, après avoir été la servante de M. le curé, prenait maintenant le double titre de femme de chambre de mademoiselle et femme de charge de monseigneur.	Służącą mieli jedną tylko, w wieku panny Baptystyny. Pani Magloire – bo tak się nazywała – przedtem była gospodynią proboszcza, teraz używała podwójnego tytułu: pokojowej siostry biskupa i gospodyni jego ekscelencji.	fr-pl	fr	pl
the_valley_of_fear	I followed him with a dour face.	Szedłem za nim z kwaśną miną.	en-pl	en	pl
the_valley_of_fear	Now I met her appealing gaze with an unresponsive eye.	Teraz obojętnym spojrzeniem odpowiedziałem na jej błagalny wzrok.	en-pl	en	pl
the_valley_of_fear	"Still on the track of the elusive bicyclist?" Holmes asked cheerfully.	— Ciągle szukacie panowie zaginionego rowerzysty? — pogodnie zapytał Holmes.	en-pl	en	pl
the_valley_of_fear	"You seem heeled and ready."	— Widzę, żeś się dobrze uzbroił i przygotował.	en-pl	en	pl
the_valley_of_fear	At three in the morning the chief Sussex detective, obeying the urgent call from Sergeant Wilson of Birlstone, arrived from headquarters in a light dog–cart behind a breathless trotter.	Na naglące wezwanie sierżanta Wilsona główny detektyw policji okręgu Sussex przypędził do Birlstone o trzeciej nad ranem w powoziku zaprzężonym w kłusaka, z którego o mało tchu nie wyparł.	en-pl	en	pl
war_and_peace	Вечер Анны Павловны был пущен.	Wieczór u Anny Pawłowny został wprawiony w ruch.	ru-pl	ru	pl
war_and_peace	— Вы не знаете аббата Морио? он очень интересный человек… — сказала она.	– Nie zna pan księdza Morio? To bardzo interesujący człowiek... – powiedziała.	ru-pl	ru	pl
war_and_peace	С лица ее исчезла вся прежняя притворность интереса.	Z twarzy jej zniknęło poprzednie sztuczne zaciekawienie.	ru-pl	ru	pl
war_and_peace	Быть энтузиасткой сделалось ее общественным положением, и иногда, когда ей даже того не хотелось, она, чтобы не обмануть ожиданий людей, знавших ее, делалась энтузиасткой.	Być entuzjastką stało się jej pozycją społeczną i niekiedy, nawet wcale tego nie chcąc, robiła z siebie entuzjastkę, aby nie zawieść oczekiwań ludzi, którzy ją znali.	ru-pl	ru	pl
war_and_peace	Так говорила в июле 1805 года известная Анна Павловна Шерер, фрейлина и приближенная императрицы Марии Феодоровны, встречая важного и чиновного князя Василия, первого приехавшего на ее вечер. 	Mówiła tak w lipcu 1805 r. znana powszechnie Anna Pawłowna Scherer, dama dworu i zaufana cesarzowej Marii Fiodorowny, witając znacznego dygnitarza księcia Wasilia, który pierwszy przybył na jej wieczór.	ru-pl	ru	pl
war_with_newts	Kapitán mrkal zamyšleně blankytnýma očima.	Kapitan chwilę się zastanawiał mrugając oczyma.	cs-pl	cs	pl
war_with_newts	"Sorry, Captain," řekl konečně kříženec mezi Kubu a Portugalcem, "ale tady, na Tana Masa, žádné mušle nerostou.	— Sorry, Captain* — rzekł wreszcie mieszaniec — ale tutaj, na Tana Masa, żadnych muszli nie ma. 	cs-pl	cs	pl
war_with_newts	"To jsou černošské pověry," prohlásil kapitán s žoviální převahou vzdělaného muže.	— Et, takie tam murzyńskie zabobony! — oburzył się kapitan z dobroduszną wyższością człowieka wykształconego.	cs-pl	cs	pl
