book	source	target	code	source_lang	target_lang
norwegian_wood	もちろん時間さえかければ僕は彼女の顔を思いだすことができる。小さな冷たい手や、さらりとした手ざわりのまっすぐなきれいな髪や、やわらかな丸い形の耳たぶやそのすぐ下にある小さなホクロや、冬になるとよく着ていた上品なキャメルのコートや、いつも相手の目をじっとのぞきこみながら質問する癖や、ときどき何かの加減で震え気味になる声（まるで強風の吹く丘の上でしゃべっているみたいだった）や、そんなイメージをひとつひとつ積みかさねていくと、ふっと自然に彼女の顔が浮かびあがってくる。まず横顔が浮かびあがってくる。これはたぶん僕と直子がいつも並んで歩いていたせいだろう。だから僕が最初に思いだすのはいつも彼女の横顔なのだ。それから彼女は僕の方を向き、にっこりと笑い、少し首をかしげ、話しかけ、僕の目をのぞきこむ。まるで澄んだ泉の底をちらりとよぎる小さな魚の影を探し求めるみたいに。	Oczywiście, jeżeli poświęcę na to trochę czasu, potrafię sobie przypomnieć twarz Naoko. Zaczynam składać w całość elementy – drobna zimna dłoń, proste włosy, gładkie i piękne, kształtne ucho, z maleńkim pieprzykiem tuż poniżej, elegancki płaszcz z wielbłądziej wełny, który nosiła w zimie, jej zwyczaj patrzenia prosto w oczy, kiedy zadawała pytanie, czasami drżący głos (jakby wołała ze szczytu wzgórza w wietrzny dzień) – i nagle wyłania się jej twarz, najpierw z profilu, pewnie dlatego, że zawsze chodziliśmy obok siebie, więc najczęściej patrzyłem na nią z boku. Potem Naoko odwraca się do mnie, uśmiecha się, lekko przechyla głowę i zaczyna mówić, zaglądając mi w oczy, jakby chciała dostrzec małą rybkę śmigającą w wodzie przy kryształowym źródle.	ja-pl	ja	pl
norwegian_wood	「そういうのは実際には起こらないの？」 「ときどき起こるの。二年か三年に一度くらいかな。人が急にいなくなっちゃって、どれだけ捜してもみつからないの。そうするとこのへんの人は言うの、あれは野井戸に落っこちたんだって」 「あまり良い死に方じゃなさそうだね」と僕は言った。 「ひどい死に方よ」と彼女は言って、上着についた草の穂を手で払って落とした。「そのまま首の骨でも折ってあっさり死んじゃえばいいけれど、何かの加減で足をくじくくらいですんじゃったらどうしようもないわね。声を限りに叫んでみても誰にも聞こえないし、誰かがみつけてくれる見込みもないし、まわりにはムカデやクモやらがうようよいるし、そこで死んでいった人たちの白骨があたり一面にちらばっているし、暗くてじめじめしていて。そして上の方には光の円がまるで冬の月みたいに小さく小さく浮かんでいるの。そんなところで一人ぼっちでじわじわと死んでいくの」	– To się w rzeczywistości nie zdarza? – Od czasu do czasu się zdarza. Może raz na dwa albo trzy lata. Ktoś nagle znika, szukają i szukają, lecz nie mogą znaleźć. I wtedy miejscowi ludzie mówią: „Pewnie wpadł do polnej studni”. – Niezbyt miła śmierć – powiedziałem. – Nie, to okropna śmierć – odrzekła Naoko, strzepując z marynarki źdźbło trawy. – Lepiej byłoby chyba złamać kark i od razu umrzeć, przy braku szczęścia spadłoby się, łamiąc tylko nogi. Krzyczałby człowiek ile sił w płucach, ale nikt by nie usłyszał, nikt by go nie znalazł. Po ciele pełzałyby stonogi i pająki, dno studni pokrywałyby kości innych nieszczęśników, byłoby ciemno i wilgotno, a w górze unosiłby się malutki maluteńki krąg światła, jak zimowy księżyc. Umierałby tam człowiek po troszeczku, zupełnie sam.	ja-pl	ja	pl
norwegian_wood	直子は立ちどまった。僕も立ちどまった。彼女は両手を僕の肩にあてて正面から、僕の目をじっとのぞきこんだ。彼女の瞳の奥の方ではまっ黒な重い液体が不思議な図形の渦を描いていた。そんな一対の美しい瞳が長いあいだ僕の中をのぞきこんでいた。それから彼女は背のびをして僕の頬にそっと頬をつけた。それは一瞬胸がつまってしまうくらいあたたかくて素敵な仕草だった。	Naoko zatrzymała się. Ja też stanąłem. Położyła mi ręce na ramionach i zajrzała uważnie w oczy. W jej ciemnych jak atrament źrenicach tworzyły się przedziwne wirujące wzory. Te piękne oczy długo badały moje serce. Potem wyprostowała się i przytuliła policzek do mojego. To był cudowny ciepły gest, aż mi serce na chwilę zamarło.	ja-pl	ja	pl
norwegian_wood	しかし何はともあれ、今のところはそれが僕の手に入れられるものの全てなのだ。既に薄らいでしまい、そして今も刻一刻と薄らいでいくその不完全な記憶をしっかりと胸に抱きかかえ、骨でもしゃぶるような気持で僕はこの文章を書きつづけている。直子との約束を守るためにはこうする以外に何の方法もないのだ。	W‌ każdym razie to wszystko, co mam, toteż chcąc uchronić w sercu te niekompletne wspomnienia, blade i dalej blednące z każdą chwilą, piszę z taką desperacją i łapczywością, z jaką głodny człowiek wysysa szpik z kości, bo nie pozostało już nic innego. Nie mam innego sposobu, żeby dotrzymać obietnicy danej Naoko.	ja-pl	ja	pl
norwegian_wood	舗道をまっすぐ行った正面には二階建ての本部建物がある。一階には食堂と大きな浴場、二階には講堂といくつかの集会室、それから何に使うのかは知らないけれど貴賓室まである。本部建物のとなりには三つ目の寮棟がある。これも三階建てだ。中庭は広く、緑の芝生の中ではスプリンクラーが太陽の光を反射させながらぐるぐると回っている。本部建物の裏手には野球とサッカーの兼用グラウンドとテニス？コートが六面ある。至れり尽せりだ。	Po‍ drugiej stronie dziedzińca, naprzeciw bramy znajdował się główny budynek kompleksu. Był piętrowy, na parterze mieściła się stołówka, łazienki, na piętrze aula i sale, w których można było urządzać grupowe spotkania czy zebrania, oraz nie wiadomo czemu służące pokoje gościnne. Obok głównego stał trzeci budynek z pokojami studenckimi, dwupiętrowy jak pozostałe. Dziedziniec był rozległy, na zielonym trawniku obracały się zraszacze, w kroplach wody odbijały się promienie słońca. Na tyłach głównego budynku znajdowało się boisko do gry w baseball i piłkę nożną oraz sześć kortów tenisowych. Wszystko, czego dusza zapragnie.	ja-pl	ja	pl
the_trial	Als er vollständig angezogen war, mußte er knapp vor Willem durch das leere Nebenzimmer in das folgende Zimmer gehen, dessen Tür mit beiden Flügeln bereits geöffnet war. Dieses Zimmer wurde, wie K. genau wußte, seit kurzer Zeit von einem Fräulein Bürstner, einer Schreibmaschinistin, bewohnt, die sehr früh in die Arbeit zu gehen pflegte, spät nach Hause kam und mit der K. nicht viel mehr als die Grußworte gewechselt hatte. Jetzt war das Nachttischchen von ihrem Bett als Verhandlungstisch in die Mitte des Zimmers gerückt, und der Aufseher saß hinter ihm. Er hatte die Beine übereinandergeschlagen und einen Arm auf die Rückenlehne des Stuhles gelegt.	Kiedy już skompletował ubiór, Wilhelm, idąc tuż za nim, zaprowadził go przez pustą bawialnię do następnego pokoju, którego dwuskrzydłowe drzwi tymczasem otwarto. Pokój ten, o czym K. dobrze wiedział, zamieszkiwała od niedawna niejaka panna Bzykier, stenotypistka, która wychodziła do pracy wcześnie rano, wracała późno i z którą oprócz powitalnych formuł dotychczas nie zamienił niemal słowa. Teraz odsunięty od jej łóżka nocny stolik stał na środku pokoju w charakterze stołu rozpraw, a przy nim siedział nadzorca. Nogę miał założoną na nogę, ramię przewieszone przez oparcie krzesła.	de-pl	de	pl
the_trial	Jemand mußte Josef K. verleumdet haben, denn ohne daß er etwas Böses getan hätte, wurde er eines Morgens verhaftet. Die Köchin der Frau Grubach, seiner Zimmervermieterin, die ihm jeden Tag gegen acht Uhr früh das Frühstück brachte, kam diesmal nicht. Das war noch niemals geschehen. K. wartete noch ein Weilchen, sah von seinem Kopfkissen aus die alte Frau, die ihm gegenüber wohnte und die ihn mit einer an ihr ganz ungewöhnlichen Neugierde beobachtete, dann aber, gleichzeitig befremdet und hungrig, läutete er. Sofort klopfte es und ein Mann, den er in dieser Wohnung noch niemals gesehen hatte, trat ein. Er war schlank und doch fest gebaut, er trug ein anliegendes schwarzes Kleid, das, ähnlich den Reiseanzügen, mit verschiedenen Falten, Taschen, Schnallen, Knöpfen und einem Gürtel versehen war und infolgedessen, ohne daß man sich darüber klar wurde, wozu es dienen sollte, besonders praktisch erschien.	Ktoś musiał fałszywie oskarżyć Józefa K., bo przecież on nic złego nie zrobił, a został pewnego ranka pozbawiony wolności. Kucharka od pani Grobosch, wynajmującej mu pokój, przynosiła dla niego śniadanie dzień w dzień koło ósmej, jednak tym razem nie przyszła. To się jeszcze nigdy nie zdarzyło. Nie unosząc głowy z poduszki, zaczekał, po chwili zobaczył, że stara kobieta, która mieszka naprzeciwko, obserwuje go z niezwykłą jak na siebie ciekawością, a wtedy, dotknięty i głodny, pociągnął za dzwonek. Zaraz usłyszał pukanie, po czym wszedł ktoś, kogo nigdy wcześniej w tym mieszkaniu nie widział. Szczupły, ale dobrze zbudowany mężczyzna miał na sobie ciasny czarny strój, który za sprawą różnych kieszonek, zakładek, guzików, klamerek i paska przypominał ubranie podróżne i wyglądał na bardzo praktyczny, choć nie było jasne, do czego służy.	de-pl	de	pl
the_trial	Ohne auf dieses Angebot zu antworten, stand K. ein Weilchen lang still. Vielleicht würden ihn die beiden, wenn er die Tür des folgenden Zimmers oder gar die Tür des Vorzimmers öffnete, gar nicht zu hindern wagen, vielleicht wäre es die einfachste Lösung des Ganzen, daß er es auf die Spitze trieb. Aber vielleicht würden sie ihn doch packen und, war er einmal niedergeworfen, so war auch alle Überlegenheit verloren, die er jetzt ihnen gegenüber in gewisser Hinsicht doch wahrte. Deshalb zog er die Sicherheit der Lösung vor, wie sie der natürliche Verlauf bringen mußte, und ging in sein Zimmer zurück, ohne daß von seiner Seite oder von Seite der Wächter ein weiteres Wort gefallen wäre.	K., nie odpowiedziawszy na tę propozycję, przez chwilę stał bez ruchu. A jeżeli otworzy drzwi do drugiego pokoju czy nawet przedpokoju, to może ci dwaj nie ośmielą się mu przeszkodzić, może najprostszym rozwiązaniem będzie postawienie wszystkiego na ostrzu noża? Ale wtedy mogliby go złapać, a obezwładniony straciłby względną przewagę, jaką jeszcze nad nimi zachował. Dlatego wybrał rozwiązanie bezpieczne, zostawiając rzeczy ich naturalnemu biegowi; nie zamienił ze strażnikami ani słowa więcej i wrócił do swojego pokoju.	de-pl	de	pl
the_trial	In diesem Frühjahr pflegte K. die Abende in der Weise zu verbringen, daß er nach der Arbeit, wenn dies noch möglich war – er saß meistens bis neun Uhr im Büro –, einen kleinen Spaziergang allein oder mit Beamten machte und dann in eine Bierstube ging, wo er an einem Stammtisch mit meist älteren Herren gewöhnlich bis elf Uhr beisammen saß. Es gab aber auch Ausnahmen von dieser Einteilung, wenn K. zum Beispiel vom Bankdirektor, der seine Arbeitskraft und Vertrauenswürdigkeit sehr schätzte, zu einer Autofahrt oder zu einem Abendessen in seiner Villa eingeladen wurde. Außerdem ging K. einmal in der Woche zu einem Mädchen namens Elsa, die während der Nacht bis in den späten Morgen als Kellnerin in einer Weinstube bediente und während des Tages nur vom Bett aus Besuche empfing.	Tej wiosny K. zwykł spędzać wieczory następująco: po pracy w biurze, gdzie przeważnie siedział do dziewiątej, robił jeszcze w miarę możności mały spacer sam lub ze znajomymi, po czym szedł do pewnej piwiarni i wśród jej bywalców, starszych na ogół panów, przesiadywał przy stoliku najczęściej do jedenastej. Bywały jednak wyjątki od tego rozkładu zajęć, kiedy na przykład dyrektor banku, bardzo ceniący jego uzdolnienia i rzetelność, zapraszał go na przejażdżkę autem albo na kolację do swojej willi. Poza tym raz na tydzień K. odwiedzał dziewczynę imieniem Eliza, której noce i poranki schodziły w winiarni na usługiwaniu, a dni – w łóżku na przyjmowaniu gości.	de-pl	de	pl
the_trial	Als er um halb zehn Uhr abends vor dem Hause, in dem er wohnte, ankam, traf er im Haustor einen jungen Burschen, der dort breitbeinig stand und eine Pfeife rauchte. »Wer sind Sie?« fragte K. sofort und brachte sein Gesicht nahe an den Burschen, man sah nicht viel im Halbdunkel des Flurs. »Ich bin der Sohn des Hausmeisters, gnädiger Herr«, antwortete der Bursche, nahm die Pfeife aus dem Mund und trat zur Seite. »Der Sohn des Hausmeisters?« fragte K. und klopfte mit seinem Stock ungeduldig den Boden. »Wünscht der gnädige Herr etwas? Soll ich den Vater holen?« »Nein, nein«, sagte K., in seiner Stimme lag etwas Verzeihendes, als habe der Bursche etwas Böses ausgeführt, er aber verzeihe ihm. »Es ist gut«, sagte er dann und ging weiter, aber ehe er die Treppe hinaufstieg, drehte er sich noch einmal um.	Kiedy o pół do dziesiątej wieczór dotarł pod kamienicę, gdzie mieszkał, napotkał w bramie chłopaka, który stał rozkraczony i palił fajkę. – Kim pan jest? – zapytał i przybliżył do niego twarz, półmrok sieni niewiele pozwalał zobaczyć. – Synem stróża, proszę pana. – Chłopak wyjął fajkę z ust i się odsunął. – Synem stróża? – K. niecierpliwie postukiwał laską w ziemię. – Szanowny pan ma jakieś życzenie? Pójść po ojca? – Nie, nie – odpowiedział K. takim głosem, jakby chłopak coś złego popełnił, a on mu wybaczał. – Wszystko dobrze – dodał po chwili i ruszył dalej, ale zanim wszedł po schodach, jeszcze się obejrzał.	de-pl	de	pl
